,corpus,label
625,"http://tiny.cc/6dshg Ciroc it is dnt have a move tonite but imma make 1 RT @PhilKeoghan : Private sneak peak of ' The Ride ' my ride across USA , tonight only , San Francisco 6pm contact Jennifer .",O O O O O O O O O O O O O O O O O O O O O B-movie I-movie O O O O B-geo-loc O O O O B-geo-loc I-geo-loc O O B-person O
626,Gainza@nmss .,O O
627,org @mychiller Must be before the coffee right @erichthewebguy O happy day .,O O O O O O O O O O O O O
628,My local grocery carries Hoegaarden .,O O O O B-product O
629,Made it home .,O O O O
630,"How long will I last before I fall asleep ? Fellas Do n't just lick the PussyY , LOVE IT ! enjoy it .",O O O O O O O O O O O O O O O O O O O O O O O O
631,"like u just got married &lt; the preacher said u may kiss the bride "" smell .",O O O O O O O O O O O O O O O O O
632,( the lack of could only help when forced to go cowtipping with ram .,O O O O O O O O O O O O O O O
633,") "" - @jenist wins ! your mineral water is in the mail .",O O O O O O O O O O O O O O
634,@Genuine Will I be seeing you at #typeamom next week ? I love seeing the U.S. Capitol building in my rearview mirror when I'm driving home from work .,O O O O O O O O O O O O O O O B-facility I-facility I-facility O O O O O O O O O O O
635,"#ILoveDC RT @BieberPledge : When I Get Old , Imma Still Be Rockin Out To ' Baby'...Even If I Break A Hip ;) Last film I can watch on a decent telly for a while tonight .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
636,Kick-Ass is very tempting indeed .,B-movie O O O O O
637,"@JessicaLynne6 where you takin me tonight after u get off ? i know u tryna kick it .. lol Win $100 Visa card ! http://www.alimartell.com/index.php/2010/09/14/its-the-most-wonderful-time-of-the-year-and-im-about-to-make-it-100-better @TulsaTornado Yeah , I'm not worried .",O O O O O O O O O O O O O O O O O O O O O B-company O O O O O O O O O O
638,Yet .,O O
639,"When I hit 30 , maybe I'll be worried then :) RT @robynsuave shout out @OhNoIts_JoJo #teamlesbian #teamstud ayyy &lt; -- all day everyday fam !!!! @danibuono yet , once I get my iPhone that 's when I'ma scream TeamiPhone RT your_commander : _Shomari lol why u say u guess ? http:///T0UZh @Viic156 I'm Ocutta Time ps tambn la amooo peroo la otra tambn me gustaa Everything shouldber cleared up by the week end .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-product O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
640,I jus saw his ass lol RT @BLikeHer Ima get my lil brother wasted tonight .,O O O O O O O O O O O O O O O O
641,"New boyz have come a long way in the game and still going strong ! #muchlove cuz this isnt a confusing phrasing of this ... LOL r u busy the next day ? ;) RT @DEWsAtlaWinner : @JRKandDDubLuva l busy day the next Why is it that I can sleep when I shouldn't be but not when I should be ??? So happy this hellish week is over ! Nothing that some sushi and sake can fix ;) new office furniture- check , paintings of hubby- check , neuro drink stock- check , finished giving interview- check .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
642,time 2 go home .,O O O O O
643,"created some great rum based sig cocktails for a tasting today : Figgy Soda w/ a fresh fig puree &amp; Rose Press w/ rose water &amp; edible flowers Year 10 is a bitch i dunno why people still type '' sad face''.....''smiley face''...''raised eyebrow''...when its alot more easier to make it @_paaaul10 - haha six ? ; o woaahh lol , well you can go buy some when you get outta work x D RT @TRAEABN Headed to Shreveport then Lake Charles -might as well shoot through dat #BMT after the slab show in Lake Charles .. @keshiaford how 's ur day going ? @k8_walsh I've been out of the loop , but is Private Practice coming back this year ? @mandyjiroux Mandy when you and Miley will upgrade Miley and Mandy show ? I miss the videos .",O O O O O O O O O O O O B-other I-other O O O O O O B-product I-product O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-geo-loc O B-geo-loc I-geo-loc O O O O O O O O O O O O B-geo-loc I-geo-loc O O O O O O O O O O O O O O O O O O B-tvshow I-tvshow O O O O O O B-person O O O B-person O O B-tvshow I-tvshow I-tvshow I-tvshow O O O O O O
644,"'@stephaniebriggs Jumped in the truck , flipped the iPod over to shuffle , and it gives me "" goodbye moon "". Probably a year since last heard it !' FUUCCCKKKK .",O O O O O O O O B-product O O O O O O O O O B-other I-other O O O O O O O O O O O
645,"I WAS SO FUCKING READY FOR MY GOD DAMN ALONE TIME , AND IT TURNS OUT FUCKING MADI HAS AN ILLNESS AND IS HOME W/DAD .",O O O O O O O O O O O O O O O O O B-person O O O O O O O O
646,GOD .,O O
647,DAMN .,O O
648,"RT @IlliniCampusRec : Orange &amp; Blue Skate tonight , 7:30 - 9:30 pm ! Free for UI faculty/staff &amp; their immediate families .",O O O B-other I-other I-other I-other O O O O O O O O O B-other O O O O O O
649,"http://bit.ly/c1M8dr @SITSGirls would have started mine a year earlier- 2002ish , when I first got to college dear youtube why does it take so long to upload a video gggrrrrr RT @Quotealicious : Today , I saw a guy driving a Pepsi truck , drinking a Coke .",O O O O O O O O O O O O O O O O O O B-company O O O O O O O O O O O O O O O O O O O O O O B-company O O O O B-product O
650,MLIA #Quotealicious RT @Softscrub : This week 's #FF has started ! Follow us for a chance to win a free bottle of #SoftScrub ! RT @MirandaBuzz : Were working til midnight tonight ! Sleepover on set ! before the season even starts i will not respond to any new found miami heat fans ... I miss being able to run and dance around all day instead of having to catch my breath every five minutes of my life .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-sportsteam I-sportsteam O O O O O O O O O O O O O O O O O O O O O O O O O O O
651,"Today was a good day , enjoyed myself :) RT @foxyscot30 : RT @_CorruptedAngel RT @tomcoates : Bit grumpy about the bloody Pope clogging up London tomorrow .",O O O O O O O O O O O O O O O O O O O O O O B-person O O B-geo-loc O O
652,"I suggest we take Gay P ... Part 2 to my day is about to begin .... hair stylist flow ... After I pet a kitten on JFK , the owners informed me it 's ' double-pawed ' ( polydactyl) , which is "" a form of retardation in the animal kingdom "" and I wonder if I ever cross your mind ... For me it happens all the time @usnOOzin Ahh Steve , you're so good to me , every week .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person O O O O O O O O O O
653,#FF .,O O
654,Thanks so much .,O O O O
655,How 's the wife recovering ??? CyberNation Sky 3D enlists Stephen Fry to explain the technology ahead of its October 1 launch ( video) : With the o ... http://bit.ly/aWoRmo I 've just watched first four episodes of K-On for the first time ! : 3 OMG-Fact #14906 : Jellyfish have existed for over 500 million years .,O O O O O O O B-company I-company O B-person I-person O O O O O O O O O O O O O O O O O O O O O O O O O O B-tvshow O O O O O O O O O O O O O O O O O O O
656,"Back in 2007 , paleontologists discovered jell ... http://bit.ly/b9yY3L Lindsay Lohan allegedly failed her drug test .",O O O O O O O O O B-person I-person O O O O O O
658,"Quick , let 's all put on our shocked faces that 23 days of rehab did n't work ! I won an election today .",O O O O O O O O O O O O O O O O O O O O O O O O O
659,It means I get to go to head office and have lots of meetings .,O O O O O O O O O O O O O O O
660,It shall be tough but I'm looking forward to it .,O O O O O O O O O O O
661,"Lelystad - za 18 sep - Schrijfster en tekenaar van Vos en Haas in FlevoMeer Bibliotheek Lelystad : #boomagenda http://bit.ly/9KzGNu @jemelehill I hit that JL joint when it came out , he does Teddy P proud on Wake Up ! RT @WakaFlocka1017 : SO WHEN I GET ON 106 N JOKE AROUND YALL TALK ABOUT ME LIKE A DOG SHAWTY BUT WHEN I BUY 30,000 WORTH SCHOOL SUPPLY N ... On the amusing side ....: When we - with dozens of other journalists - were at the event waiting to see if ... http://fxn.ws/aAnazd Institutional buying lifts UFlex 30% in a month http://bit.ly/bOAk9y RT @LightCMS : Day 6 : Win 1 of 10 iPads from @LightCMS - RT to enter or read more http://speaklight.com/iPad RT @ContrarianDave : Here 's my story on today 's Forensic Science Comm .",B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O B-person O O O O O O O O B-person I-person O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-company O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
662,"meeting , where Willingham probe took a remarkable turn .",O O O B-geo-loc O O O O O O
663,"http://bi ... Just tried to watch The Inbetweeners for the first time , not entirely sure about it .",O O O O O O B-tvshow I-tvshow O O O O O O O O O O O
664,"Today was amazing( : go Jackets ! I want sum steak ! #Fancyflow .. im in the hair salon right now .. smh .. Friday , its packed in here RT @neimanMarcus203 : Where is @ihavesuperpower ??? I heart Park(ing ) Day ! Photo of meter shark : http://bit.ly/aQun1b Please , I wanna apologize in advance for my boundless verbosity tonight .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-other I-other I-other O O O O O O O O O O O O O O O O O O O O
665,"I'm UI(as in DUI ) feel me ? 800 miles to see clients , 3 ACC candidate/commissioner meetings , big press release , making it to Friday .. PRICELESS ! Fave Looks from SS 2011 Fashion Week : Jason Wu read more http://bit.ly/brsV4V @lofolulu RT @couponprincess : Please vote for me to be a Deal Pro in Chicago in November ! TY http://bit.ly/cgmnoX - DO WHAT @LOFOLULU SAYS ! 'ive been driving all over the place today and this is the 7th time ive heard "" dynamite "" on the radio .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-other I-other I-other I-other O B-person I-person O O O O O O O O O O O O O O O O O B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-other O O O O O
666,#loveit though' Rep .,O O O O
667,Bono Mack to criticize fellow desert dweller Barbara Boxer at event today .,B-person I-person O O O O O B-person I-person O O O O
668,http://tinyurl.com/2bhyuq7 REFINERY29 STALKS LA'S MOST FASHIONABLE FEMMES FROM LAST WEEK VB'S PARISIAN BREAKFAST .,O O O O O O O O O O O O O O
669,"MERCI , MERCI ! XX http://ow.ly/2G4KX I HATE MY MOTHER !!!!!!!!!!!... Where is Dee when I need him @klutzy_girl @ratherastory I wrote 74,000 words in February .",O O O O O O O O O O O O O B-person O O O O O O O O O O O O O
670,"@niamh_schnapps fuckin yeaaaaaa march 1st omgomg best news !!!! "" why is it you always look seriously stoned when i see you ? "" - - &gt; Danny .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person O
671,"lol good god ! ( : @ethernat You know me , if I can be kind and guilt you at the same time , well , my job is done :) Maybe if I'd told you the right words At the right time You'd be mine @BieberEgypt I've got some bad news , Yeah I cant come to the meeting tomorrow .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
672,": S RT @LoveQuotesx : Have you ever noticed that the worst way to miss someone is when they are right beside you and you can never have them ? @DudeImSuchATeen Ooo I do !! It would make THiS day better :-/ RT @TheLoveStories : When people are mad at you , don't ever forget what they say , because they MEAN every single word they say ! #TLS DING DONG DING DONG guess who 's comin dinner tonight ? U gonna be part of my meal tonight ....... @tach47 Did not know I would be moving there til Wednesday , had no advanced notice or else I would have it on and working Saturday morning ! RT @Sexstrology : Pisces tend to escape into fantasy and day dreams .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
674,"&lt; yesss #wavesindexfingerintheair #AGREED ! ^10thpower Great week in the Optimise office , another new client on board and we are close to signing a new team member I only just found out yesterday that KRISTEN BELL is the voice of #GG : l And now the wait til the games get started for the day .",O O O O O O O O O O B-company O O O O O O O O O O O O O O O O O O O O O O O O B-person I-person O O O O O O O O O O O O O O O O O O O O
675,Costco Irvine has fresh sushi samples today .,B-company B-geo-loc O O O O O O
676,Awesome .,O O
677,"Today I got a promotion at work , and tomorrow I 'm going home to Wisconsin for a few days .",O O O O O O O O O O O O O O O B-geo-loc O O O O O
678,So content with life right now .,O O O O O O O
679,":) @N4T4YLOR he'll probaly have something completely different now ! Hope your havin a good time Major Muslim organisations throw weight behind 6 Nov demo against racism , fascism and Islamophobia http://uaf.org.uk/1465 r rated http://bit.ly/aGV3kX Weekend Movie News Wrap Up : July 11 , 2010 Screen Rant tomorow on day off !! youppppiiieeee @pjames Add a little Belanger , and you 've got it ! Of course ... after his household items arrive from D .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
680,C .,O O
681,Whoo who ready for some Seahawk football ? Can't wait to watch my dirtbags on sunday .,O O O O O B-sportsteam O O O O O O O O O O O
682,"Is this rubbish or what !? 441 free texts , 588mins and only two days to use ' em .",O O O O O O O O O O O O O O O O O O O O
683,http://twitpic.com/2pdxm4 is at Home-Going Well - I take a Break-Online Saturday 4:30 pm- 6:00 pm ET- Good Day- Good Night-Good Week-End !!! A compliment from a stranger on my outfit as I walked in to work = best way to start the day ! @_MissMarika haha I need to update my tan I feel so white .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
684,"My face ! I have been tanning myself this month , hurry up summer ! #blackholidays "" National forget the he say she say ... what do God say day "" too lazy to go to school today .. oh well , i have no choice .. RT @PLLGirls : Episodes 1-10 of Pretty Little Liars will air in the UK on October 18 ! must be a slow news day for everybody 2 b talkin bout a known druggie/acoholic bi actress testin pos .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person O O O O O O O O O O O O O O O O O O O O O O O O O B-tvshow I-tvshow I-tvshow O O O O B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O
685,"for caine The only problem with taxing ur car online is its no fun not paying anything for a 5litre car when its a classic :) Man i been eatin fastfood everyday im so glad my mommy cookin today ... Lmaao ! RT @TheHomieJoseph I hate when people try to have a convo &amp; ask "" what 's your name "" lol com'on now its right there Stairs : One more chance to win Roger Waters tickets on KLH tonight between 6:15 &amp; 6:45 !! http://fb.me/Jjp2pz4I Performing on Thursday , Sept .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person I-person O O B-other O O O O O O O O O O O O O
686,23 at 11:00 a.m. in the Student Centre at Centennial College ( Progress Campus ) in Scarborough .,O O O O O O B-facility I-facility O B-other I-other O B-geo-loc I-geo-loc O O B-geo-loc O
687,"@ccsai RT @papalote415 : Homemade PAPALOTE Vegan Soyrizo Tamales and Soyrizo Tamales at OFF the GRID Fort Mason at 5PM TODAY !! &lt; &lt; salsa , salsa , my fav @thelazymarmot ohh really ? but well you saw most of the concert right ? have you seen them before ?? taken a few minutes ago what do u think ??? :) http://twitpic.com/2pdsi9 @abzmedic I 'm missing autumn because of work .",O O O O O O O O O O O O O B-facility I-facility I-facility B-facility I-facility O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
688,:( I must get into the forests tomorrow ! no work tonight .,O O O O O O O O O O O O O
689,going to a sweet sixteen .,O O O O O O
690,shirt and tie .,O O O O
691,free food .,O O O
692,why not .,O O O
693,@BornThisWayBaby thankk yhuu #monsterlove u just made my day :D @SpankyDuhh well same thing goes to me duhh i need up to 800 more follower before i drop my album ... Amber Le Bon is to walk in Giles Deacon 's Monday LFW show Soulja Boy | TheDeAndreWay .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person I-person I-person O O O O B-person I-person O O O O B-person I-person O O O
694,com - The DeAndre Way in stores Nov .,O O O O O O O O O
695,"2 , 2010 http://t.co/woAiLlZ via @SouljaBoy Game @ Widener tonight at 7:30 @_Kinghoopa the one thats out now is free ... Father to tha Game is droppin in a month or so .. I went to old navy today and bought two pairs of pants .",O O O O O O O O B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O O O O B-company I-company O O O O O O O O
696,"Now I have three pairs of pants ! Mayday Parade &amp; The Maine in like 16 days , excitedddd .",O O O O O O O O O O O O O O O O O O O O
697,"All time low next year , maybe .",O O O O O O O O
698,@frankenteen So excited ! But .... I just called into work Tuesday night...it 's horrible but at the same time really important to work .,O O O O O O O O O O O O O O O O O O O O O O O O O
699,@Kybil Hmm ... I probably would .,O O O O O O O
700,"I don't know if I can find a visual for R'lyeh, though .",O O O O O O O O O O B-other O O
701,"I may have to bust out my copy of the story ... "" In business , Tuesday is usually the most productive day .",O O O O O O O O O O O O O O O O O O O O O O O O
702,"For Twitter , is when people tweet the most "" - Ironic , isn't it ? @imRockey I will let you know when you can take another visit ; today was a little quiet .",O B-company O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
703,Uhmm .,O O
704,"Looks like I'm not leaving my house tonight ! @TMCphotographs I know , but there are plenty of mid week programmes that I can take the piss out of now the winter is almost upon us .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
705,xx @uppercasem @cecinestpastom pig pinata for the big day ? http://j.mp/9ack1V @TheRealDavidgs How kind I greatly enhanced my confidence for success after attending this seminar .,O O O O O O O O O O O O O O O O O O O O O O O O O O
706,http://lz.ly/2bIR Fair After work nap time ; Shhhhhhh *Do not disturb* Drycleaners then shape up .,O O O O O O O O O O O O O O O O
707,Get fresh then off to d red carrots tonight .,O O O O O O O O O O
708,"Holla at ur boi 30 Mosques in 30 Days : A Trip Through Islamic America http://dlvr.it/5RdYv RT @AKingPNCRadio : Shout out to @Laureluxe for a dope show today on @TheLuxeHour w/special guest @cheridennis ... audio droppin later tod ... RT @GreatestQuotes : "" When everything seems to be going against you , remember that the airplane takes off against the wind , not with it ."" ... I just took "" ( All Parts ) + (* New Season 2 , All Parts*) You've been fri ..."" and got : PART 10 , A MILLION YEARS !! Try it : http://bit.ly/bRCD9M @ahmong I'm thinking they trade him before the deadline and try to blow it up so they don't lose him for nothing .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
709,It sucks when you eat old cookies for lunch and they make you feel barfy .,O O O O O O O O O O O O O O O O
710,going to have to go to bed before i cry .,O O O O O O O O O O O
711,wish you would make an effort to be there for me like i am for you .,O O O O O O O O O O O O O O O O O
712,"Stephen , the Intellectual .",B-person O O O O
713,"@bbhess I bet ppl that design book covers for a living hate when people say do n't judge a book by its cover #asdrakesays "" what 's a star when his most important fan is missing ?"" Ah , that has seriously made my day .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
714,":D @chrisbrown , iloveyousomuch&amp;hearts ; RT @askyfullofstars : AstronomersWithoutBorders has a list of live #InOMN10 broadcasters for online Moon viewing Sept 18 http://is.gd/ffDFE Also , I learned at school today that everyone , in fact , knows @penguin1124 .",O O O O O O O O B-other O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
715,"( I learned this , no joke , during choir .",O O O O O O O O O O O
716,) #fact Need to put summer to bed by Monday -- just in time for the equinox .,O O O O O O O O O O O O O O O O O O
717,"AND EVERYTHING YOU STAND FOR , TURNS ON YOU TO SPITE YOU ? WHAT HAPPENS WHEN YOU BECOME THE MAIN SOURCE OF HER PAIN ? im doin the most Homework on a friday #blown @MATHHOFFA @darealjustjuice yo I put that bitch boy in his place the other day .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
718,Do n't even waste ya time wit clowns @yanxfan24 We should win but I said that on Tuesday .,O O O O O O O O O O O O O O O O O O O
719,These games are normally pretty poor though .,O O O O O O O O
720,"Probably 0-0 lol the last group dalam lab , for the first time @davidcushman David , I just realised the other day you're no longer at Brando ? How come ? Doing your own thing ?! ( ps yeah it sucks ! ) i've had a wicked week Does anyone else hate when authors spend the first half of each book chapter telling you what the rest of the chapter is going to be about ? Change of Plans on Saturday ! We'll be @ Glover Park farmers market , 9-1 in DC .",O O O O O O O O O O O O O O B-person O O O O O O O O O O O B-company O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-facility I-facility O O O O O B-geo-loc O
721,Come by and try some old favorites &amp; crazy new flavors ! Well had the weigh in today .,O O O O O O O O O O O O O O O O O O O
722,"I've lost a pound !!! I've had no alcohol , no puddings , no crisps , no chocolate &amp; I've only lost a pound !!!!! But in any case I suppose you will not let it away for some days ? @MsAustinTaylor whats been going on today ? Reading : Tips : Long-press address bar to share URL : Shared by Renee Or as I'd describe it , a shortcut to the "" N ... http://bit.ly/cPZU6A Today I justt felt special forr no reason &lt; 3 .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person O O O O O O O O O O O O O O O O O O O O O O O O O
723,It wass cool thou( : 5:59 and the train comes to a halt .,O O O O O O O O O O O O O O
724,Here we go again I do not think so .,O O O O O O O O O O
725,"There 's sun this time ! What 's the deal , LIRR ? OK , back on the move .",O O O O O O O O O O O O O O O O O O O O
726,"Katie up 6-0 after 1st RT @ATeenageThought : i hate it when my parents want me to come home early from a party , but i wanna stay really late #ATeenageThought @Iamjustinbieb i know that today is follow friday .",B-person O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
727,so im guessing thats what i means .,O O O O O O O O
728,but im not suree lmaoo Good morning ! Today 's Software Freedom Day .,O O O O O O O O O O B-other I-other I-other O
729,Join us at UP Diliman for a day of great events .,O O O B-geo-loc I-geo-loc O O O O O O O
730,Free admission ! http://ow.ly/2FM1n #sfdphils #cricket Lancashire let Powell go early : Lancashire have released West Indies fast bowler Daren Powell a year befo ... http://bit.ly/aLxTis @ShayalKumar GooD MorNinG :) HaVe A GrEaT DaY :) @diggy_simmons #diggyfollows50 diggy should follow me because i saw him at @justinbieber 's concert on september third :D @cprieboy At the end of the year ? Sometime in May .,O O O O O O B-geo-loc O B-person O O O B-geo-loc O O B-geo-loc I-geo-loc O O B-person I-person O O O O O O O O O O O O O O O O B-person O O O O O O O O O O O O O O O O O O O O O O O O O O O
731,They are just starting at the beginning of August now instead of the middle .,O O O O O O O O O O O O O O O
732,"LOL A-W-E-S-O-M-E !! btw , totally agree RT @fanoffob Fall Out Boy is gay #reallymeans I 'm secretly a big time fan .",O O O O O O O O O B-musicartist I-musicartist I-musicartist O O O O O O O O O O O
733,"Icecream time ! #baskinrobbins @PageVGP I'm pretty sure it doesn't exist .. I said it when I was really young , and I still say it now .. Said it once and I will say it again , when someone shows you who they are , BELIEVE THEM !! Thanks and I will RT @InnerGizerBunni @kizfoprez_TR Happy Berlated Birthday ! I hope u have fun &lt; live it up tonight .. Enjoy &lt; b safe ! e tem mais .... Robinho no meu time eh banco , mesmo com o Pato machucado ! Tenho dito ! Happy birfday to the only p-i-m-p I know ... @amcdavid ! We 're getting "" white boy wasted "" tonight ! @FerLiebe :D how is fer today ?? @lexi_nicole2010 That 's not the story by a long shot biotch ! Safety Day tomorrow at North Phoenix ATA .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-facility I-facility I-facility O
734,"Kids Self-Defense class from 12-1 pm , Safety Presentation from 1-2 , Adult Self-Defense from 2-3 .",O O O O O O O O O O O O O O O O O
735,It 's the fescue turf grass aeration &amp; overseeding season for Atlanta &amp; N .,O O O O O O O O O O O B-geo-loc O O O
736,Georgia .,B-geo-loc O
737,"Do some evaluation &amp; planning beforehand , there 's time We're on the tall ship Silva tonight .",O O O O O O O O O O O O B-facility I-facility I-facility I-facility O O
738,Still a few tickets available .,O O O O O O
739,Rain is gone and we're getting ready to set sail .,O O O O O O O O O O O
740,1030 PM we depart Yesterday my son forgot his jacket at school .,O O O O O O O O O O O O O
741,"Today he remembered to bring home the jacket , but forgot his lunchbox .",O O O O O O O O O O O O O O
742,Im ' performing tonight at 8 Bond Street in Soho .,O O O O O O O O O B-geo-loc O
743,"If your in the city , hit me up , and then swing through around 10ish ! Can your CMS guarantee pixel-precise output when compared to our MS-Paint designs ? #cmsretractions Still on my @teganandsara kick ! It 's been a solid 2 weeks ! @TempestBeauty Ive heard of that .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
744,Hadn't heard it called that before .,O O O O O O O
745,"I considered it but my hair is so oily , I think I would look dirty .",O O O O O O O O O O O O O O O O O
746,":) Recording vocals tonight ! Can't wait for the song to be done ! May have overdone it today ... My back hurts ... :-( Totes just pissed off the Vista del Lago Eagles , well some of em by saying "" Go Lancers !!"" teehee .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-geo-loc I-geo-loc I-geo-loc B-sportsteam O O O O O O O O O B-sportsteam O O O
747,"They're playing each other tonite ! lol Is Joaquin Phoenix Our Modern Day Andy Kaufman ?: ... the bizarre events leading up to this moment , the movie could ... http://bit.ly/aUZ2on im tired of doing this short hair thing .",O O O O O O O O B-person I-person O O O B-person I-person O O O O O O O O O O O O O O O O O O O O O O O O O
748,i need pay day to come alreadyyyy !! Gotta call mom 2 let her know it 's almost 3 .,O O O O O O O O O O O O O O O O O O O O
749,Yli gets out in 15 .,O O O O O O
750,"Mom took the antenna home today &lt; connected it at home , finally .",O O O O O O O O O O O O O O
751,"UPDATE 1-Cricket-Gul takes six wickets as Pakistan beat England : LONDON , Sept 17 ( Reuters ) - Umar Gul took ... http://bit.ly/ckNyMG #Cricket @peterc83 night night good luck tomorrow x Today is friday .",O O O O O O B-geo-loc O B-geo-loc O B-geo-loc O O O O B-company O O B-person I-person O O O O O O O O O O O O O O O
752,"Crap forgot XD If you can smile when things go wrong , you have someone in mind to blame .",O O O O O O O O O O O O O O O O O O O O
753,RT @davehodg : Pope says atheists pick &amp; choose their morals .,O O O B-person O O O O O O O O
754,Correct .,O O
755,Today I will be frowning on child abuse &amp; not having a problem wit ... RT @jettathatsme : #nowplaying- This Is Our Someday - Big Time Rush &lt; 3 :) overnight tonight ... gheyyyy Morning .,O O O O O O O O O O O O O O O O O O O B-other I-other I-other I-other O B-musicartist I-musicartist I-musicartist O O O O O O O O O
756,Work today .,O O O
757,Hope I get lots of money .,O O O O O O O
758,They're going to be in a bad mood due to #geelong ... #MelbourneTomorrow @angelajames @roxannestclaire I have n't tried MAC .,O O O O O O O O O O O O O O O O O O O B-company O
759,Next time ! RT @HippoArmy : Thousands of angry masturbators marched against Christine O'Donnell today http://bit.ly/9nTWQw Seriously .,O O O O O O O O O O O O B-person I-person O O O O
760,@endlesskies ik me 2 .,O O O O O
761,"At night I 'm wide awake but the daytime , I 'm so tired my day drags Cowboy fans remember when Da Bears demolished you guys 44-0 in your own home in 1985 ?? same year we won the superbowl ! #BEARDOWN @k8_walsh I 've been out of the loop , but is Private Practice coming back this year ? RT @pinkbikeralph : Working at BAR tonight .",O O O O O O O O O O O O O O O O O O O O O B-sportsteam I-sportsteam O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-tvshow I-tvshow O O O O O O O O O O B-facility O O
762,1309 sansom st .,O O O O
763,More secrets than Copa .,O O O O O
764,Shhhhh ... RT @Durell_G : When life throws u lemons ... Throw them back .. &lt; make lemonade or @giapo sorbet ? Bio Spot 6 Month Spot On Flea &amp; Tick Cats 5 lbs &amp; Over #E_BAY #forsale #supplies #pet #SFO http://3taps.com/w/ML2EQ4 Men 's soccer vs .,O O O O O O O O O O O O O O O O O O O O O O B-product I-product O O O O O O O O O O O O O O O O O O O O O O O
765,Crown College at home tomorrow at 2 pm .,B-sportsteam I-sportsteam O O O O O O O
